Date,Close/Last,Volume,Open,High,Low
06/21/2018,80.16,3719682,80.00,80.26,79.62
06/20/2018,79.78,7327459,78.96,79.89,78.91
06/19/2018,78.90,11275370,78.74,79.275,78.74
06/18/2018,78.98,6392618,78.78,79.045,78.44
06/15/2018,79.69,11131770,79.72,80.26,79.525
06/14/2018,79.74,4458209,79.25,80.005,79.25
06/13/2018,78.99,7230941,80.56,80.70,78.81
06/12/2018,80.56,3287947,80.03,80.77,79.82
06/11/2018,80.08,4168395,80.11,80.27,79.93
06/08/2018,80.20,2773160,79.97,80.27,79.79
06/07/2018,79.91,3353298,79.92,80.12,79.43
06/06/2018,79.91,4006121,79.72,79.91,79.318
06/05/2018,79.72,5543015,80.22,80.30,79.555
06/04/2018,79.93,5391401,79.40,79.95,79.115
06/01/2018,79.24,7233864,78.59,79.43,78.43
05/31/2018,78.89,5430488,78.91,79.195,78.59
05/30/2018,79.16,4901862,78.05,79.395,77.83
05/29/2018,78.10,4611490,77.54,78.23,77.32
05/25/2018,77.73,3597361,77.53,78.02,77.42
05/24/2018,77.46,3173321,77.64,77.94,77.04
05/23/2018,77.62,3983240,76.80,77.86,76.79
05/22/2018,76.85,3470839,76.73,76.95,76.4248
05/21/2018,76.74,3671535,76.01,76.87,75.595
05/18/2018,75.84,3343843,75.83,76.12,75.50
05/17/2018,75.74,3998067,76.09,76.35,75.58
05/16/2018,76.12,4400445,76.50,76.75,76.01
05/15/2018,76.35,5134003,77.22,77.22,76.12
05/14/2018,77.61,3536418,78.22,78.39,77.24
05/11/2018,78.28,2694453,78.59,78.87,78.16
05/10/2018,78.55,3664056,78.23,78.70,78.07
05/09/2018,77.94,4685350,77.26,77.96,77.16
05/08/2018,77.42,4311637,77.80,77.80,77.17
05/07/2018,77.81,4670377,77.40,77.90,77.35
05/04/2018,77.29,3746639,76.41,77.485,76.41
05/03/2018,76.45,5839516,76.26,76.77,76.16
05/02/2018,76.50,5361894,76.61,76.83,75.83
05/01/2018,76.78,5251510,76.08,76.93,75.94
04/30/2018,76.09,6625559,76.42,76.71,76.065
04/27/2018,76.39,6278827,75.06,76.64,74.97
04/26/2018,75.10,5551015,74.35,75.52,74.25
04/25/2018,74.13,4055156,74.03,74.41,73.55
04/24/2018,74.27,5852156,74.05,74.58,73.845
04/23/2018,73.99,4325043,74.08,74.375,73.66
04/20/2018,74.05,5171224,74.66,74.96,73.95
04/19/2018,74.74,6917903,75.59,75.67,74.21
04/18/2018,75.84,4122901,76.18,76.28,75.83
04/17/2018,76.00,4503599,75.29,76.42,75.06
04/16/2018,75.12,4279053,74.75,75.37,74.57
04/13/2018,74.66,3817086,74.20,74.72,74.09
04/12/2018,74.27,4049606,75.23,75.24,74.05
04/11/2018,75.11,3891653,74.81,75.6815,74.74
04/10/2018,74.95,7318607,75.35,75.4938,74.83
04/09/2018,75.03,4466333,75.32,75.625,74.91
04/06/2018,75.27,4817544,75.67,76.25,75.02
04/05/2018,75.84,4195654,75.92,75.99,75.19
04/04/2018,75.87,5502776,74.66,76.09,74.49
04/03/2018,75.08,9987261,74.57,75.42,74.075
04/02/2018,74.45,6487619,75.34,75.67,73.95
03/29/2018,75.47,5993479,75.77,75.95,75.16
03/28/2018,75.56,8917567,73.97,75.70,73.84
03/27/2018,73.71,9131990,73.53,74.68,72.67
03/26/2018,73.43,6979044,73.03,73.56,72.675
03/23/2018,73.31,9528230,74.62,74.85,73.12
03/22/2018,74.64,5605008,74.90,75.97,74.61
03/21/2018,75.08,5905419,75.55,75.85,74.68
03/20/2018,75.64,5676923,75.85,76.38,75.35
03/19/2018,75.90,3999376,76.46,76.48,75.42
03/16/2018,76.56,4950813,75.94,76.66,75.765
03/15/2018,76.03,5680461,76.18,76.31,75.63
03/14/2018,76.05,5945100,75.91,76.35,75.73
03/13/2018,75.98,4877079,76.16,76.51,75.72
03/12/2018,75.91,6661487,75.63,76.09,75.38
03/09/2018,75.58,6293384,75.17,75.58,74.68
03/08/2018,75.17,6381351,75.20,75.3501,74.785
03/07/2018,75.03,9868228,74.23,75.09,74.19
03/06/2018,74.57,6038476,74.34,74.73,73.69
03/05/2018,74.22,5558149,73.19,74.565,73.14
03/02/2018,73.39,8408418,73.07,73.47,72.62
03/01/2018,73.42,8794634,73.19,74.295,72.83
02/28/2018,73.35,9175541,73.66,74.35,73.35
02/27/2018,73.40,7634912,75.30,75.35,73.38
02/26/2018,75.15,6335507,75.31,75.36,74.6401
02/23/2018,74.94,6884060,74.03,74.9599,73.915
02/22/2018,73.76,7412395,73.28,74.31,73.13
02/21/2018,72.93,7852918,74.40,74.53,72.93
02/20/2018,74.40,5766269,75.06,75.68,74.31
02/16/2018,75.29,7002409,75.11,75.67,74.82
02/15/2018,74.88,7359206,74.27,75.01,74.06
02/14/2018,74.16,8225734,74.06,74.25,73.16
02/13/2018,74.70,8766085,74.01,74.91,73.52
02/12/2018,74.18,15209190,74.59,74.63,72.105
02/09/2018,74.15,12670380,72.79,74.74,72.0536
02/08/2018,72.34,11116710,74.15,74.93,72.27
02/07/2018,74.48,7480007,74.78,75.92,74.425
02/06/2018,74.80,12553670,73.55,75.20,73.09
02/05/2018,74.79,8860165,76.70,77.54,74.69
02/02/2018,77.08,11151550,77.16,77.60,76.44
02/01/2018,77.74,7313162,79.09,79.735,77.60
01/31/2018,79.45,8856099,78.27,79.48,78.02
01/30/2018,78.05,6937581,78.27,78.59,77.92
01/29/2018,78.62,5279976,79.48,79.49,78.57
01/26/2018,79.69,4966145,79.97,80.084,79.23
01/25/2018,79.97,4764568,79.97,80.11,79.45
01/24/2018,80.11,6242461,80.42,80.61,79.83
01/23/2018,80.53,4599669,79.79,80.55,79.66
01/22/2018,79.43,4767729,78.83,79.47,78.74
01/19/2018,78.71,4546822,78.42,78.72,78.20
01/18/2018,78.29,4548204,79.01,79.10,78.22
01/17/2018,79.31,5559981,79.09,79.40,78.70
01/16/2018,78.76,5760807,78.90,80.03,78.74
01/12/2018,78.61,5154530,79.03,79.24,78.4674
01/11/2018,79.25,5066982,79.71,79.93,79.17
01/10/2018,79.52,6244160,80.10,80.23,79.1101
01/09/2018,80.42,4628794,81.50,81.73,80.39
01/08/2018,81.47,4763286,81.16,81.6075,81.04
01/05/2018,81.05,5742428,81.17,81.23,80.84
01/04/2018,81.01,4733977,82.45,82.48,80.99
01/03/2018,82.43,5516736,82.73,82.9264,82.255
01/02/2018,82.67,4638735,83.04,83.17,82.40
12/29/2017,82.98,2957454,83.11,83.28,82.85
12/28/2017,82.95,3172848,82.39,83.03,82.31
12/27/2017,82.51,4341891,82.82,82.82,82.31
12/26/2017,82.24,2874375,81.85,82.455,81.68
